"id","url","name","season","number","type","airdate","airtime","airstamp","runtime","image_medium","image_original","network_id","network_name","network_country_name","network_country_code","network_country_timezone","network_official_site","web_channel","web_channel_country"
"2730586","https://www.tvmaze.com/episodes/2730586/neznost-2x01-seria-1","Серия 1","2","1.0","regular","2024-01-01 00:00:00",NULL,"2023-12-31 19:00:00-05","23.0",NULL,NULL,"NaN",NULL,NULL,NULL,NULL,NULL,"NaN","NaN"
"2730587","https://www.tvmaze.com/episodes/2730587/neznost-2x02-seria-2","Серия 2","2","2.0","regular","2024-01-01 00:00:00",NULL,"2023-12-31 19:00:00-05","20.0",NULL,NULL,"NaN",NULL,NULL,NULL,NULL,NULL,"NaN","NaN"
"2730588","https://www.tvmaze.com/episodes/2730588/neznost-2x03-seria-3","Серия 3","2","3.0","regular","2024-01-01 00:00:00",NULL,"2023-12-31 19:00:00-05","19.0",NULL,NULL,"NaN",NULL,NULL,NULL,NULL,NULL,"NaN","NaN"
"2730589","https://www.tvmaze.com/episodes/2730589/neznost-2x04-seria-4","Серия 4","2","4.0","regular","2024-01-01 00:00:00",NULL,"2023-12-31 19:00:00-05","21.0",NULL,NULL,"NaN",NULL,NULL,NULL,NULL,NULL,"NaN","NaN"
"2730590","https://www.tvmaze.com/episodes/2730590/neznost-2x05-seria-5","Серия 5","2","5.0","regular","2024-01-01 00:00:00",NULL,"2023-12-31 19:00:00-05","20.0",NULL,NULL,"NaN",NULL,NULL,NULL,NULL,NULL,"NaN","NaN"
"2730591","https://www.tvmaze.com/episodes/2730591/neznost-2x06-seria-6","Серия 6","2","6.0","regular","2024-01-01 00:00:00",NULL,"2023-12-31 19:00:00-05","20.0",NULL,NULL,"NaN",NULL,NULL,NULL,NULL,NULL,"NaN","NaN"
"2730592","https://www.tvmaze.com/episodes/2730592/neznost-2x07-seria-7","Серия 7","2","7.0","regular","2024-01-01 00:00:00",NULL,"2023-12-31 19:00:00-05","20.0",NULL,NULL,"NaN",NULL,NULL,NULL,NULL,NULL,"NaN","NaN"
"2730593","https://www.tvmaze.com/episodes/2730593/neznost-2x08-seria-8","Серия 8","2","8.0","regular","2024-01-01 00:00:00",NULL,"2023-12-31 19:00:00-05","19.0",NULL,NULL,"NaN",NULL,NULL,NULL,NULL,NULL,"NaN","NaN"
"2730594","https://www.tvmaze.com/episodes/2730594/neznost-2x09-seria-9","Серия 9","2","9.0","regular","2024-01-01 00:00:00",NULL,"2023-12-31 19:00:00-05","18.0",NULL,NULL,"NaN",NULL,NULL,NULL,NULL,NULL,"NaN","NaN"
"2730595","https://www.tvmaze.com/episodes/2730595/neznost-2x10-seria-10","Серия 10","2","10.0","regular","2024-01-01 00:00:00",NULL,"2023-12-31 19:00:00-05","19.0",NULL,NULL,"NaN",NULL,NULL,NULL,NULL,NULL,"NaN","NaN"
"2718792","https://www.tvmaze.com/episodes/2718792/predposlednaa-instancia-3x01-seria-21","Серия 21","3","1.0","regular","2024-01-01 00:00:00",NULL,"2023-12-31 19:00:00-05","25.0",NULL,NULL,"NaN",NULL,NULL,NULL,NULL,NULL,"NaN","NaN"
"2719121","https://www.tvmaze.com/episodes/2719121/predposlednaa-instancia-3x02-seria-22","Серия 22","3","2.0","regular","2024-01-01 00:00:00",NULL,"2023-12-31 19:00:00-05","25.0",NULL,NULL,"NaN",NULL,NULL,NULL,NULL,NULL,"NaN","NaN"
"2718220","https://www.tvmaze.com/episodes/2718220/manuna-3x08-seria-8","Серия 8","3","8.0","regular","2024-01-01 00:00:00",NULL,"2023-12-31 19:00:00-05","20.0",NULL,NULL,"NaN",NULL,NULL,NULL,NULL,NULL,"NaN","NaN"
"2692646","https://www.tvmaze.com/episodes/2692646/nedetskoe-kino-1x01-seria-1","Серия 1","1","1.0","regular","2024-01-01 00:00:00",NULL,"2023-12-31 19:00:00-05","NaN",NULL,NULL,"NaN",NULL,NULL,NULL,NULL,NULL,"NaN","NaN"
"2692647","https://www.tvmaze.com/episodes/2692647/nedetskoe-kino-1x02-seria-2","Серия 2","1","2.0","regular","2024-01-01 00:00:00",NULL,"2023-12-31 19:00:00-05","NaN",NULL,NULL,"NaN",NULL,NULL,NULL,NULL,NULL,"NaN","NaN"
"2692648","https://www.tvmaze.com/episodes/2692648/nedetskoe-kino-1x03-seria-3","Серия 3","1","3.0","regular","2024-01-01 00:00:00",NULL,"2023-12-31 19:00:00-05","NaN",NULL,NULL,"NaN",NULL,NULL,NULL,NULL,NULL,"NaN","NaN"
"2692649","https://www.tvmaze.com/episodes/2692649/nedetskoe-kino-1x04-seria-4","Серия 4","1","4.0","regular","2024-01-01 00:00:00",NULL,"2023-12-31 19:00:00-05","NaN",NULL,NULL,"NaN",NULL,NULL,NULL,NULL,NULL,"NaN","NaN"
