,count,mean,std,min,25%,50%,75%,max
id,189.0,2735518.671957672,58068.765996348026,2625941.0,2712160.0,2725231.0,2731469.0,3045036.0
season,189.0,163.26455026455025,547.8030142367278,1.0,1.0,1.0,2.0,2024.0
number,188.0,15.25,42.42522519233482,1.0,2.0,6.0,13.0,378.0
runtime,162.0,46.2037037037037,44.56889967786407,2.0,22.0,39.0,52.0,300.0
image,0.0,,,,,,,
rating.average,19.0,7.43157894736842,0.7498537869174136,6.0,6.9,7.4,7.8,9.0
_embedded.show.id,189.0,62352.862433862436,19540.75171554652,793.0,59484.0,72871.0,73703.0,79903.0
_embedded.show.runtime,19.0,90.36842105263158,89.11429024093835,10.0,16.0,70.0,120.0,300.0
_embedded.show.averageRuntime,164.0,45.66463414634146,43.37046540205076,2.0,22.0,39.0,50.0,300.0
_embedded.show.rating.average,43.0,6.73953488372093,0.5546940533318994,4.8,6.6,6.7,7.1,7.9
_embedded.show.weight,189.0,33.7037037037037,31.77843904815455,0.0,6.0,23.0,56.0,97.0
_embedded.show.network,0.0,,,,,,,
_embedded.show.webChannel.id,187.0,219.45989304812835,194.9357827703513,1.0,26.0,149.0,366.0,643.0
_embedded.show.externals.tvrage,10.0,16988.4,15030.829120326145,712.0,3296.5,17105.0,30295.0,34149.0
_embedded.show.externals.thetvdb,98.0,393293.2551020408,96487.31950555596,70366.0,395919.0,433681.0,444072.0,448382.0
_embedded.show.updated,189.0,1713757812.6772487,10918403.62881526,1701776723.0,1704633150.0,1708155945.0,1725225898.0,1733444315.0
_embedded.show.image,0.0,,,,,,,
_embedded.show.network.id,9.0,502.0,471.45598946243115,30.0,166.0,426.0,481.0,1282.0
_embedded.show.webChannel,0.0,,,,,,,
_embedded.show.webChannel.country,0.0,,,,,,,
